Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Hour
2024-12-01,10:40:22,"""CNR1652765""",Incomplete,"""CID8558813""",Bike,Rohini West,Lok Kalyan Marg,7.1,20.2,0.0,Desconocido,0.0,Desconocido,1.0,Vehicle Breakdown,485.0,4.74,0.0,0.0,UPI,-1
2024-07-16,05:42:27,"""CNR9492586""",Completed,"""CID7425592""",Go Mini,New Colony,Patel Chowk,7.6,21.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,257.0,29.84,4.7,4.2,Cash,-1
2024-02-10,16:14:46,"""CNR8215682""",Completed,"""CID4968980""",Auto,Greater Noida,Khandsa,11.0,32.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,896.0,22.44,4.5,4.7,Uber Wallet,-1
2024-01-13,21:58:45,"""CNR9312414""",Completed,"""CID1962689""",Auto,Meerut,Nawada,4.3,35.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,310.0,45.61,4.3,4.4,Uber Wallet,-1
2024-11-19,15:02:29,"""CNR6886384""",Completed,"""CID6455263""",eBike,Netaji Subhash Place,Narsinghpur,14.3,34.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,297.0,16.09,4.4,4.2,Debit Card,-1
2024-03-16,08:32:15,"""CNR6495467""",Completed,"""CID6878640""",Bike,Mansarovar Park,New Colony,11.1,37.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,1177.0,31.69,4.2,3.6,Credit Card,-1
2024-01-13,14:44:07,"""CNR3009174""",Cancelled by Driver,"""CID4686557""",Auto,Ardee City,Nehru Place,11.5,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-07-28,17:08:52,"""CNR5848927""",Cancelled by Customer,"""CID2730208""",Uber XL,Jhilmil,Mandi House,15.8,0.0,1.0,AC is not working,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-07-04,18:24:57,"""CNR2835455""",Completed,"""CID5855006""",eBike,GTB Nagar,Kirti Nagar,8.2,40.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,619.0,17.98,4.7,4.5,Credit Card,-1
2024-02-07,17:45:00,"""CNR7766262""",Completed,"""CID7685210""",Premier Sedan,Kherki Daula Toll,DLF Phase 3,10.6,19.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,462.0,41.82,4.3,4.8,UPI,-1
2024-03-11,17:31:04,"""CNR6842007""",Cancelled by Driver,"""CID5905633""",eBike,Yamuna Bank,Palam Vihar,8.4,0.0,0.0,Desconocido,1.0,More than permitted people in there,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-11-12,22:44:07,"""CNR5104274""",Completed,"""CID8512777""",Go Mini,Green Park,Saket A Block,11.2,22.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,427.0,37.77,4.7,3.9,UPI,-1
2024-09-24,20:58:36,"""CNR2834318""",Cancelled by Driver,"""CID5225614""",Go Mini,Chanakyapuri,DLF City Court,9.1,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-05-10,06:20:31,"""CNR3315619""",Completed,"""CID6044362""",Go Mini,Delhi Gate,Jama Masjid,3.1,27.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,320.0,27.49,4.7,4.9,Credit Card,-1
2024-04-08,17:49:20,"""CNR4918246""",Completed,"""CID2808277""",Go Mini,Jor Bagh,Keshav Puram,10.4,37.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,425.0,37.73,3.8,4.7,Cash,-1
2024-06-24,20:25:31,"""CNR7128155""",Completed,"""CID5063874""",Auto,Noida Film City,Tughlakabad,6.7,22.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,998.0,21.8,3.9,5.0,Credit Card,-1
2024-07-04,15:46:39,"""CNR1091682""",Cancelled by Customer,"""CID1131593""",Go Mini,Vishwavidyalaya,Botanical Garden,13.7,0.0,1.0,Change of plans,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-10-18,08:12:03,"""CNR8336735""",Completed,"""CID2161274""",Premier Sedan,Mayur Vihar,Chandni Chowk,13.4,27.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,414.0,49.49,3.3,5.0,Uber Wallet,-1
2024-12-14,18:45:44,"""CNR8732810""",Completed,"""CID7655227""",Go Sedan,Keshav Puram,Lal Quila,8.4,33.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,121.0,45.03,3.7,4.1,UPI,-1
2024-07-06,17:26:43,"""CNR5058425""",Completed,"""CID8939404""",Go Mini,Sarojini Nagar,INA Market,11.1,22.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,1241.0,8.15,3.9,3.1,UPI,-1
2024-04-15,08:32:29,"""CNR5958696""",Completed,"""CID7514435""",Go Sedan,Madipur,Manesar,14.3,42.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,213.0,29.03,4.8,4.8,Uber Wallet,-1
2024-03-29,09:11:33,"""CNR2416214""",Completed,"""CID1397558""",Auto,Kashmere Gate,Arjangarh,12.2,30.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,671.0,18.8,4.3,4.6,Uber Wallet,-1
2024-02-02,15:25:55,"""CNR7374583""",Completed,"""CID2049576""",Premier Sedan,Moolchand,ITO,6.5,33.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,490.0,11.9,3.7,4.8,Cash,-1
2024-07-11,11:23:19,"""CNR4177415""",Completed,"""CID9669131""",Premier Sedan,Uttam Nagar,Panipat,14.1,31.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,610.0,2.5,4.3,4.2,Cash,-1
2024-06-23,20:46:16,"""CNR5874746""",Cancelled by Driver,"""CID9596834""",Auto,Model Town,Nawada,4.2,0.0,0.0,Desconocido,1.0,Customer related issue,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-01-10,12:29:52,"""CNR6025689""",No Driver Found,"""CID8921108""",eBike,Rajiv Nagar,Cyber Hub,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-03-07,14:08:13,"""CNR8483311""",Cancelled by Customer,"""CID5335612""",Bike,RK Puram,Ghaziabad,15.2,0.0,1.0,Change of plans,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-01-15,21:26:16,"""CNR9924856""",Completed,"""CID5443075""",Auto,Ramesh Nagar,Rohini West,12.2,39.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,1001.0,6.25,4.6,4.3,Credit Card,-1
2024-01-07,23:33:25,"""CNR6408706""",Completed,"""CID1966936""",Premier Sedan,Patel Chowk,Nehru Place,2.0,31.6,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,1101.0,23.22,4.2,4.8,UPI,-1
2024-06-23,06:55:24,"""CNR8363670""",Cancelled by Customer,"""CID6661007""",eBike,Bahadurgarh,Karkarduma,11.5,0.0,1.0,Change of plans,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-12-11,19:04:03,"""CNR4022181""",Completed,"""CID2052577""",Go Sedan,Saidulajab,Okhla,12.0,16.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,558.0,39.83,4.1,4.3,Cash,-1
2024-07-14,18:22:20,"""CNR7385162""",No Driver Found,"""CID4223292""",Go Sedan,Lal Quila,Kashmere Gate ISBT,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-04-23,08:30:02,"""CNR5318170""",Completed,"""CID4771912""",Go Sedan,Chhatarpur,Paschim Vihar,10.0,29.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,646.0,21.62,3.8,4.6,UPI,-1
2024-10-31,20:43:20,"""CNR4712889""",Completed,"""CID6274332""",Auto,Mayur Vihar,Rohini,5.6,19.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,2704.0,9.82,4.6,4.4,UPI,-1
2024-02-25,15:55:20,"""CNR7252097""",Completed,"""CID3908872""",Go Sedan,Nawada,Delhi Gate,14.6,31.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,730.0,14.9,3.8,4.9,Uber Wallet,-1
2024-02-07,11:28:33,"""CNR1941394""",Completed,"""CID6286517""",Bike,Rohini East,Ghitorni,4.6,26.6,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,678.0,18.23,4.2,4.4,Credit Card,-1
2024-07-06,11:25:18,"""CNR8311141""",Cancelled by Driver,"""CID4377550""",Auto,Lok Kalyan Marg,ITO,11.6,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-03-13,10:10:26,"""CNR5962220""",Cancelled by Driver,"""CID3747067""",eBike,Rohini East,Lajpat Nagar,4.2,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-02-08,11:03:06,"""CNR1752210""",No Driver Found,"""CID3897629""",Premier Sedan,Dwarka Sector 21,Hauz Rani,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-09-23,21:49:51,"""CNR6575694""",Incomplete,"""CID6746264""",Auto,Pulbangash,Akshardham,7.7,24.5,0.0,Desconocido,0.0,Desconocido,1.0,Other Issue,452.0,8.75,0.0,0.0,Uber Wallet,-1
2024-09-24,21:04:47,"""CNR5230005""",Cancelled by Driver,"""CID3694020""",eBike,Badarpur,Chanakyapuri,5.9,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-10-14,12:28:08,"""CNR8559128""",Completed,"""CID1831657""",Auto,Rajiv Nagar,Bahadurgarh,11.6,16.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,836.0,26.85,3.8,4.6,Credit Card,-1
2024-03-08,08:02:31,"""CNR9210055""",Cancelled by Customer,"""CID2341391""",Bike,Sarai Kale Khan,Paharganj,16.5,0.0,1.0,Wrong Address,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-01-17,18:36:15,"""CNR1590185""",Completed,"""CID8780721""",Go Mini,New Delhi Railway Station,Rithala,5.1,35.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,109.0,7.8,4.3,4.6,Uber Wallet,-1
2024-05-17,11:31:06,"""CNR6103529""",Incomplete,"""CID5523739""",eBike,Jor Bagh,Hauz Khas,3.6,21.3,0.0,Desconocido,0.0,Desconocido,1.0,Other Issue,726.0,6.0,0.0,0.0,UPI,-1
2024-04-26,20:49:13,"""CNR4678687""",Cancelled by Driver,"""CID5606374""",eBike,Golf Course Road,New Delhi Railway Station,8.3,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-04-16,18:36:55,"""CNR6363970""",Completed,"""CID3593238""",Go Sedan,Udyog Bhawan,IFFCO Chowk,4.9,20.8,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,519.0,28.8,4.6,4.5,UPI,-1
2024-06-01,18:22:17,"""CNR2591553""",Completed,"""CID8719421""",Bike,Maidan Garhi,Karol Bagh,14.5,23.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,267.0,30.32,4.9,5.0,Cash,-1
2024-03-30,12:36:25,"""CNR1592055""",Cancelled by Customer,"""CID7228523""",Auto,Sarojini Nagar,Bhiwadi,12.1,0.0,1.0,Change of plans,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-06-10,13:56:24,"""CNR5195905""",Cancelled by Customer,"""CID6060819""",Go Mini,Nehru Place,Ghitorni Village,13.5,0.0,1.0,Wrong Address,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-11-09,18:05:04,"""CNR8752515""",Incomplete,"""CID1018836""",Auto,Paschim Vihar,Welcome,9.8,14.0,0.0,Desconocido,0.0,Desconocido,1.0,Customer Demand,404.0,8.49,0.0,0.0,Cash,-1
2024-09-19,22:34:44,"""CNR2832932""",Completed,"""CID2093358""",Bike,Noida Film City,Faridabad Sector 15,7.1,28.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,899.0,40.49,4.3,4.5,Credit Card,-1
2024-04-24,22:31:08,"""CNR9701090""",Cancelled by Driver,"""CID5501061""",Go Sedan,Hauz Rani,Aya Nagar,10.8,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-09-27,12:59:18,"""CNR4413354""",Completed,"""CID9033252""",Auto,Rohini West,Pitampura,12.7,34.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,294.0,36.55,4.1,4.1,UPI,-1
2024-08-24,15:00:48,"""CNR5307735""",Completed,"""CID5073889""",Premier Sedan,Noida Sector 18,Kashmere Gate ISBT,8.6,34.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,756.0,9.33,4.2,4.4,Credit Card,-1
2024-12-14,14:53:44,"""CNR4380250""",Cancelled by Driver,"""CID3152566""",Uber XL,Nehru Place,Kanhaiya Nagar,3.1,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-08-19,03:53:28,"""CNR5222189""",Completed,"""CID1300727""",Go Sedan,Noida Sector 18,Huda City Centre,11.5,38.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,417.0,10.25,4.2,4.8,UPI,-1
2024-06-30,23:59:40,"""CNR2541239""",Completed,"""CID1296280""",Go Mini,DLF Phase 3,Badshahpur,8.8,24.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,755.0,19.62,4.2,3.1,UPI,-1
2024-08-26,11:54:21,"""CNR2312430""",Completed,"""CID9761509""",eBike,Anand Vihar ISBT,Vishwavidyalaya,11.1,18.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,81.0,16.76,4.2,4.8,UPI,-1
2024-05-18,14:10:46,"""CNR2103354""",Completed,"""CID6530202""",Bike,Anand Vihar,Vasant Kunj,5.0,24.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,480.0,43.15,3.9,4.5,Cash,-1
2024-03-05,22:28:34,"""CNR2006666""",Completed,"""CID7686049""",Go Mini,Seelampur,Ghitorni Village,8.8,20.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,319.0,7.17,4.1,4.6,Cash,-1
2024-10-04,14:49:19,"""CNR1758100""",Completed,"""CID7007318""",Auto,Rohini West,Kashmere Gate ISBT,10.5,19.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,805.0,8.23,4.3,4.9,Cash,-1
2024-10-30,14:39:10,"""CNR6124395""",Completed,"""CID6298841""",Go Mini,Gurgaon Sector 56,Qutub Minar,7.5,20.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,422.0,15.68,4.3,4.3,Uber Wallet,-1
2024-10-01,20:07:52,"""CNR3734577""",Completed,"""CID4874936""",Go Mini,Madipur,Manesar,14.6,36.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,162.0,11.95,4.5,4.2,UPI,-1
2024-02-24,18:04:38,"""CNR7294023""",Incomplete,"""CID4171544""",Auto,Keshav Puram,Vasant Kunj,3.8,25.6,0.0,Desconocido,0.0,Desconocido,1.0,Customer Demand,218.0,10.94,0.0,0.0,Cash,-1
2024-07-21,12:06:32,"""CNR1755879""",No Driver Found,"""CID1823373""",Bike,Kashmere Gate ISBT,Okhla,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-05-05,18:11:43,"""CNR8512722""",Completed,"""CID2465285""",Go Mini,Samaypur Badli,Sonipat,8.1,27.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,446.0,49.71,4.5,4.2,UPI,-1
2024-10-16,04:52:04,"""CNR3628440""",Completed,"""CID7053690""",Go Mini,Kirti Nagar,Noida Extension,4.2,40.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,890.0,38.47,4.3,4.9,Uber Wallet,-1
2024-02-22,19:23:16,"""CNR8486373""",Incomplete,"""CID3236855""",Premier Sedan,Greater Noida,Pataudi Chowk,8.5,12.3,0.0,Desconocido,0.0,Desconocido,1.0,Vehicle Breakdown,976.0,9.09,0.0,0.0,Cash,-1
2024-04-14,08:34:38,"""CNR8888208""",Completed,"""CID5821443""",Auto,Sarai Kale Khan,Inderlok,3.1,24.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,719.0,36.1,3.8,3.8,Cash,-1
2024-03-14,07:43:45,"""CNR8952764""",Cancelled by Driver,"""CID4343834""",Premier Sedan,Bhikaji Cama Place,Munirka,5.0,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-03-26,11:43:18,"""CNR5879277""",No Driver Found,"""CID9602160""",Go Mini,Bhiwadi,Qutub Minar,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-01-05,20:17:18,"""CNR6724544""",Cancelled by Driver,"""CID8999095""",Bike,Panipat,Jama Masjid,11.6,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-07-06,14:59:17,"""CNR6784305""",Completed,"""CID9250370""",Go Mini,Shivaji Park,Laxmi Nagar,11.9,26.6,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,3303.0,15.87,3.7,4.2,Credit Card,-1
2024-04-07,12:55:50,"""CNR4648667""",Completed,"""CID6849564""",Go Mini,Nehru Place,Arjangarh,3.2,17.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,1261.0,43.65,4.3,4.6,UPI,-1
2024-12-16,10:41:11,"""CNR1282098""",Completed,"""CID4893475""",Auto,IMT Manesar,Subhash Nagar,4.9,33.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,239.0,37.97,3.2,4.6,UPI,-1
2024-05-17,13:05:13,"""CNR8411272""",Cancelled by Driver,"""CID7605166""",Go Sedan,Hauz Rani,Jahangirpuri,4.7,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-06-03,13:52:15,"""CNR9646752""",Completed,"""CID5912235""",Go Mini,Hauz Khas,Ghitorni,14.3,15.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,804.0,39.52,4.6,5.0,UPI,-1
2024-07-28,18:49:30,"""CNR6338955""",Completed,"""CID6611339""",Go Sedan,Gurgaon Sector 29,Sushant Lok,2.1,28.8,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,913.0,35.82,4.4,4.2,Cash,-1
2024-03-13,16:37:19,"""CNR7492796""",No Driver Found,"""CID7866026""",Auto,Model Town,IFFCO Chowk,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-05-26,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,86.0,40.1,3.6,4.4,Cash,-1
2024-10-07,16:51:11,"""CNR2860348""",Cancelled by Driver,"""CID5578022""",Uber XL,Netaji Subhash Place,Lajpat Nagar,11.8,0.0,0.0,Desconocido,1.0,Personal & Car related issues,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-12-26,11:35:20,"""CNR3950515""",Cancelled by Customer,"""CID9062603""",Go Sedan,Rajouri Garden,Ghaziabad,5.3,0.0,1.0,Driver is not moving towards pickup location,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-09-25,17:31:22,"""CNR4715373""",Completed,"""CID7822710""",Auto,Ghitorni Village,Rajiv Nagar,7.6,17.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,63.0,18.99,4.1,4.6,UPI,-1
2024-08-14,06:18:50,"""CNR3626259""",No Driver Found,"""CID1114091""",Auto,Sikanderpur,Noida Sector 18,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-05-22,18:13:05,"""CNR8068577""",Completed,"""CID2385957""",Bike,Janakpuri,IFFCO Chowk,6.4,40.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,402.0,8.03,4.7,4.2,Debit Card,-1
2024-01-10,18:33:20,"""CNR4666491""",Completed,"""CID2057868""",Premier Sedan,Akshardham,Shastri Park,6.0,38.5,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,220.0,33.58,3.4,4.3,UPI,-1
2024-09-21,19:52:59,"""CNR7386689""",Completed,"""CID2377603""",Go Mini,Gurgaon Sector 56,Vasant Kunj,13.8,42.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,196.0,17.26,4.2,3.8,UPI,-1
2024-12-26,14:41:56,"""CNR3422152""",Completed,"""CID9604726""",eBike,Qutub Minar,Moti Nagar,11.8,24.8,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,446.0,28.36,3.9,3.7,UPI,-1
2024-05-21,16:58:40,"""CNR3034053""",Completed,"""CID7011064""",Go Sedan,Sarai Kale Khan,Botanical Garden,6.3,37.8,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,608.0,5.6,4.4,4.3,UPI,-1
2024-06-12,10:01:49,"""CNR5994386""",Completed,"""CID5100180""",Bike,Saket A Block,Ramesh Nagar,12.8,38.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,454.0,15.48,4.3,4.6,UPI,-1
2024-03-17,02:08:12,"""CNR1973394""",Completed,"""CID7455240""",Go Sedan,Jhilmil,Vasant Kunj,8.1,29.6,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,747.0,33.01,4.5,4.8,UPI,-1
2024-05-16,18:40:17,"""CNR4802995""",Completed,"""CID9514652""",Premier Sedan,Model Town,Sonipat,11.6,40.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,412.0,43.39,4.0,4.7,UPI,-1
2024-09-09,16:02:47,"""CNR7028693""",Completed,"""CID5551104""",eBike,Noida Sector 18,Model Town,3.3,39.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,404.0,12.44,4.4,4.3,Uber Wallet,-1
2024-07-11,20:47:53,"""CNR3122045""",Completed,"""CID3241966""",Go Mini,Mehrauli,Sikanderpur,10.8,39.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,301.0,2.27,5.0,4.6,UPI,-1
2024-03-28,00:42:13,"""CNR9842517""",Cancelled by Customer,"""CID2039565""",Bike,Rithala,Janakpuri,9.8,0.0,1.0,Driver is not moving towards pickup location,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-04-23,13:53:59,"""CNR5691095""",No Driver Found,"""CID6721290""",Go Mini,Vatika Chowk,Pragati Maidan,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-10-25,10:49:18,"""CNR3535477""",Cancelled by Driver,"""CID7165580""",Go Mini,Saket,IIT Delhi,8.6,0.0,0.0,Desconocido,1.0,The customer was coughing/sick,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-07-29,16:48:05,"""CNR9060565""",Completed,"""CID8916050""",Premier Sedan,Barakhamba Road,Jasola,5.7,41.3,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,753.0,28.23,4.3,4.1,UPI,-1
2024-03-05,17:14:30,"""CNR3575891""",Completed,"""CID5810167""",Auto,IGNOU Road,Akshardham,13.2,17.4,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,447.0,24.9,4.0,4.3,Cash,-1
2024-09-24,16:23:55,"""CNR2775531""",Completed,"""CID3611959""",Go Mini,Maidan Garhi,IFFCO Chowk,13.2,25.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,378.0,35.89,4.5,3.1,UPI,-1
